104.17.37.46,155,194,182,0
162.159.24.23,53,221,188,0
104.16.170.137,161,257,196,0
198.41.214.195,161,216,205,0
104.18.107.206,131,191,167,10
104.17.43.36,159,191,169,10
104.16.177.3,132,220,172,10
104.16.88.177,131,257,174,10
162.159.16.79,50,290,179,10
172.64.68.168,50,221,185,10
104.22.3.138,131,242,188,10
104.16.158.156,159,287,190,10
104.24.65.16,131,220,191,10
104.27.8.248,131,218,192,10
104.19.94.187,185,217,201,10
104.27.125.121,192,217,204,10
104.24.182.59,199,218,209,10
104.24.41.250,203,279,218,10
104.16.154.123,161,290,222,10
104.17.134.62,50,282,120,20
162.159.252.34,51,189,122,20
104.16.249.112,50,282,145,20
198.41.219.76,134,191,171,20
162.159.9.147,52,221,185,20
104.16.155.211,155,296,193,20
104.19.179.146,161,276,193,20
104.16.206.208,161,292,194,20
104.27.43.208,162,214,199,20
104.23.104.101,166,219,201,20
104.17.45.11,160,277,201,20
104.23.109.209,190,221,204,20
104.27.63.135,186,220,204,20
104.16.28.69,161,296,224,20
104.18.153.211,50,190,105,30
104.17.187.102,36,183,110,30
104.17.181.130,50,282,123,30
162.159.244.155,52,190,152,30
104.18.163.23,51,273,157,30
104.18.93.113,51,291,159,30
104.17.2.83,131,189,160,30
104.16.21.227,131,198,174,30
198.41.220.103,35,213,176,30
162.159.61.194,52,213,176,30
104.16.190.156,133,190,177,30
104.17.83.41,134,191,177,30
172.64.90.61,51,222,178,30
104.17.126.124,160,192,181,30
104.16.235.6,163,189,183,30
104.16.17.136,131,269,184,30
104.24.13.9,163,209,189,30
104.16.18.208,160,278,189,30
104.16.74.28,131,280,190,30
104.27.15.174,162,217,198,30
104.16.30.38,179,282,203,30
104.16.230.37,158,293,205,30
104.17.44.53,160,297,207,30
104.24.89.235,190,217,208,30
104.27.4.98,190,227,210,30
104.19.98.123,201,249,215,30
104.24.83.80,161,287,220,30
